Causes of death,Year,under 1 year_Male,1 to under 15 years_Male,15 to under 20 years_Male,20 to under 25 years_Male,25 to under 30 years_Male,30 to under 35 years_Male,35 to under 40 years_Male,40 to under 45 years_Male,45 to under 50 years_Male,50 to under 55 years_Male,55 to under 60 years_Male,60 to under 65 years_Male,65 to under 70 years_Male,70 to under 75 years_Male,75 to under 80 years_Male,80 to under 85 years_Male,85 years and over_Male,under 1 year_Female,1 to under 15 years_Female,15 to under 20 years_Female,20 to under 25 years_Female,25 to under 30 years_Female,30 to under 35 years_Female,35 to under 40 years_Female,40 to under 45 years_Female,45 to under 50 years_Female,50 to under 55 years_Female,55 to under 60 years_Female,60 to under 65 years_Female,65 to under 70 years_Female,70 to under 75 years_Female,75 to under 80 years_Female,80 to under 85 years_Female,85 years and over_Female
Disorders of kidney,2011,-,1,-,1,5,6,6,20,40,78,129,197,425,794,1173,1601,2342,1,1,-,1,3,2,9,12,25,50,61,109,209,565,979,1910,4942
"Pregnancy, childbirth and the puerperium",2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,9,4,11,4,-,-,-,-,-,-,-,-,-
Certain conditions origin. in the perinatal period,2011,668,12,1,3,3,-,-,2,2,2,1,-,1,1,-,-,1,531,6,2,2,1,-,1,-,-,-,2,1,-,-,-,1,-
"Congenital malform.,deform. a. chromosomal abnorm.",2011,362,90,19,34,19,25,23,28,32,38,48,59,23,14,14,11,20,293,76,14,17,24,16,18,17,20,42,64,39,31,20,17,16,36
Congenital malformations of the nervous system,2011,29,14,8,7,6,6,9,2,-,2,-,1,-,1,1,-,1,29,22,1,5,6,2,1,2,1,2,4,-,1,3,3,1,1
Congenital malformations of the circulatory system,2011,134,31,4,12,8,10,3,8,6,9,7,5,1,2,8,2,9,101,19,6,4,7,6,6,6,3,9,8,3,2,2,8,8,26
"Symp., signs a. abnormal clinical a. lab. findings",2011,133,33,31,64,82,142,207,459,771,1169,1204,1253,1344,1610,1321,1122,1387,114,17,14,27,38,35,64,137,274,362,406,472,622,912,1057,1340,4327
Sudden infant death syndrome,2011,94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other ill-defined and unknown causes of mortality,2011,38,29,30,64,79,140,197,437,740,1146,1157,1212,1275,1487,1166,862,748,56,15,14,26,38,31,60,127,259,344,388,450,581,826,907,974,1760
External causes of morbidity and mortality,2011,45,146,480,927,820,758,747,1160,1517,1574,1483,1244,1243,1918,1774,1942,2446,30,109,145,204,188,190,192,337,450,476,473,435,565,980,1260,1942,4788
"Accidents, including their sequelae",2011,28,122,324,538,411,335,284,469,576,674,620,628,638,1095,1146,1402,1886,22,87,94,102,87,60,65,120,163,193,237,224,335,674,946,1647,4223
Transport accidents,2011,2,50,278,434,286,187,136,220,271,248,197,153,139,206,156,144,111,2,41,82,81,63,30,31,57,74,72,73,49,58,101,105,102,97
Falls,2011,2,9,16,21,30,23,39,72,109,165,188,209,268,507,601,879,1307,3,7,4,-,7,4,5,11,21,36,62,76,136,318,520,1072,2995
Accidental drowning and submersion,2011,3,20,8,12,7,10,10,13,20,16,22,22,15,25,35,19,12,1,6,-,-,3,2,2,2,2,7,8,8,7,16,14,13,10
"Exposure to smoke, fire and flames",2011,1,9,1,11,5,7,6,9,12,21,23,28,15,16,23,14,14,1,6,-,1,1,-,2,1,11,9,10,7,9,15,17,28,43
Accid. poisoning by and exposure to noxious subst.,2011,-,-,7,21,42,62,55,70,53,56,23,24,11,17,7,6,16,1,1,4,12,4,8,8,23,15,15,15,9,9,9,10,7,17
Intentional self-harm,2011,-,12,130,330,342,340,386,591,827,777,757,544,530,706,522,437,415,-,9,42,79,79,108,98,176,238,243,199,179,183,241,223,171,230
Assault,2011,14,7,7,12,11,22,21,26,20,21,15,14,12,8,11,6,5,8,10,7,12,10,10,11,17,20,13,8,8,10,12,17,8,18
Event of undetermined intent,2011,3,5,18,45,54,57,53,72,93,100,88,56,61,104,93,95,140,-,3,1,11,11,12,18,21,29,26,29,23,34,51,73,116,317
Total,2011,1347,648,718,1432,1425,1776,2314,5108,9852,15659,21709,27808,36276,61233,66131,71698,82494,1061,521,316,492,607,832,1250,2840,5530,8353,11427,15394,20300,38154,51002,79771,206850
Certain infectious and parasitic diseases,2012,14,19,11,16,18,31,66,130,202,287,348,437,579,1121,1369,1601,1872,11,18,4,10,16,23,14,53,92,153,203,286,391,858,1368,2071,4661
"Tuberculosis, including its sequelae",2012,-,-,-,1,-,-,4,5,7,14,16,10,17,30,27,42,40,-,-,-,1,1,1,1,2,-,3,6,4,10,10,19,38,47
Meningococcal infection,2012,3,3,2,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,4,2,1,-,2,-,1,2,-,2,-,-,-,1,1,3
Viral hepatitis,2012,-,-,1,1,1,4,18,29,47,60,64,48,50,43,47,44,46,-,1,-,-,-,3,1,5,15,26,29,18,41,67,84,91,92
HIV disease,2012,-,-,-,3,5,13,28,45,65,54,50,22,21,11,12,4,1,-,-,-,-,5,5,3,11,15,17,7,4,1,5,-,2,1
Neoplasms,2012,9,145,75,113,142,224,376,1003,2586,5146,8265,11724,14164,23249,21891,18805,15290,21,89,47,65,131,237,495,1228,2589,4441,6040,8025,9448,15596,16225,16676,23729
Malignant neoplasms,2012,7,136,73,109,137,218,370,980,2544,5073,8191,11581,13914,22759,21315,18160,14513,15,82,46,63,130,232,488,1211,2558,4406,5992,7922,9314,15257,15736,15922,22157
"Malignant neoplasms of lip, oral cavity, pharynx",2012,-,2,-,3,2,2,14,71,224,456,670,712,604,612,377,177,164,1,-,-,-,1,2,3,17,33,96,147,148,167,187,165,125,211
Malignant neoplasms of oesophagus,2012,-,-,-,-,1,1,7,42,142,292,422,639,595,752,584,359,236,-,-,-,-,-,-,5,8,19,61,88,150,145,176,164,150,222
Malignant neoplasms of stomach,2012,-,-,-,5,3,13,33,81,164,262,390,497,519,1036,1029,943,795,-,1,-,3,6,12,20,59,103,134,194,269,294,564,651,739,1159
Malignant neoplasms of colon,2012,-,-,-,3,9,21,24,35,161,250,402,651,903,1573,1736,1536,1420,-,-,-,3,3,7,21,44,107,216,309,364,547,1086,1256,1686,2846
"Malig. neopl. of rectum,anus,rectosigmoid junction",2012,1,1,-,2,1,8,15,45,105,202,326,537,547,934,836,656,529,1,-,1,3,-,4,10,24,77,124,152,195,271,462,526,591,1031
"Malignant neoplasms of liver, bile ducts, pancreas",2012,-,2,2,3,5,9,31,81,266,632,1010,1558,1841,3140,2662,1980,1246,1,3,1,1,4,9,30,45,172,337,591,896,1185,2133,2297,2327,2827
"Malig. neoplasms of liver, intrahepatic bile ducts",2012,-,2,2,2,4,4,13,33,69,201,366,586,679,1157,960,659,380,-,3,1,-,2,4,15,16,41,74,114,180,215,427,458,488,515
Malignant neoplasms of pancreas,2012,-,-,-,1,1,4,14,40,173,388,581,861,991,1683,1425,1074,700,1,-,-,-,1,5,14,24,108,217,385,556,814,1362,1428,1474,1795
"Malig. neoplasms of larynx,trachea,bronchus,lung",2012,2,2,1,4,6,14,32,155,655,1492,2682,3630,4418,6464,5358,3903,2160,3,2,2,2,7,12,31,147,463,975,1412,1840,1999,2504,2022,1796,1713
Malignant neoplasms of bronchus and lung,2012,2,2,1,4,6,14,32,146,619,1409,2535,3458,4246,6209,5179,3755,2078,3,2,2,2,7,12,30,146,454,969,1394,1820,1962,2481,1993,1773,1688
Melanoma and other malignant neoplasms of skin,2012,-,2,-,1,7,11,14,43,70,106,138,164,200,335,354,267,278,-,-,-,2,6,10,15,35,80,76,75,118,90,168,194,241,463
Malignant melanoma of skin,2012,-,2,-,1,7,11,14,43,60,101,124,142,177,289,292,187,177,-,-,-,2,6,9,14,33,76,73,69,102,78,157,167,190,272
Malignant neoplasms of breast,2012,-,-,-,-,-,-,3,3,5,4,12,12,19,25,27,26,14,-,1,-,-,15,59,154,398,670,1061,1256,1548,1694,2604,2545,2288,3455
"Malig. neoplasms of genital organs, urinary tract",2012,-,1,1,7,9,19,30,73,155,420,730,1263,1872,3849,4296,4778,5017,-,4,-,3,29,52,86,206,436,690,880,1129,1376,2473,2658,2564,3471
Malignant neoplasms of cervix uteri,2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,28,33,78,129,182,165,163,137,180,147,162,202
"Malig. neopl. of corpus uteri,uterus, part unspec.",2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,9,13,41,79,106,205,241,455,424,385,554
Malignant neoplasms of ovary,2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,12,16,26,72,168,292,387,452,581,1017,986,837,798
Malignant neoplasms of prostate,2012,-,-,-,-,-,1,-,9,22,101,274,566,1037,2228,2512,2892,3315,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Malignant neoplasms of kidney, except renal pelvis",2012,-,-,-,-,-,3,6,24,53,146,203,299,313,583,617,512,366,-,3,-,1,3,2,7,11,31,41,75,106,158,319,428,402,544
Malignant neoplasms of bladder,2012,-,-,1,-,1,-,4,9,23,82,122,215,279,555,698,873,929,-,-,-,-,1,2,4,12,18,26,57,72,106,189,283,351,705
"Malig. neopl.of lymphoid,haematopoietic,rel.tissue",2012,2,37,26,34,32,48,49,106,166,285,488,682,916,1835,1983,1792,1284,3,21,18,25,21,23,32,64,109,185,265,443,652,1344,1564,1671,2014
Leukaemia,2012,1,30,19,25,23,25,29,55,60,102,192,294,357,764,829,777,573,3,19,12,21,8,14,19,39,57,84,102,185,253,511,568,676,874
Benign neoplasms,2012,-,1,-,1,2,2,-,4,7,13,6,15,22,32,44,44,47,3,1,-,-,-,3,1,7,7,7,9,14,17,47,67,82,131
Diseases of the blood and blood-forming organs,2012,6,13,8,2,3,6,10,12,29,35,32,72,75,152,173,192,288,5,6,3,3,5,4,14,10,20,16,22,53,48,119,184,295,770
"Endocrine, nutritional and metabolic diseases",2012,19,33,21,29,29,49,53,152,277,427,610,909,983,1804,2148,2331,2871,12,26,9,16,12,20,32,65,123,210,259,433,587,1237,2145,3482,9192
Diabetes mellitus,2012,-,2,3,6,9,22,24,74,159,272,398,660,781,1509,1823,1980,2355,-,2,-,6,4,6,9,29,60,97,149,263,402,933,1746,2883,7389
Mental and behavioural disorders,2012,-,1,6,32,66,149,165,317,561,727,759,681,610,975,1371,2160,3606,-,1,2,15,26,37,34,93,159,188,189,212,248,620,1323,3071,12486
Mental and behav. disorders due to use of alcohol,2012,-,-,1,3,11,37,70,198,440,635,679,573,410,419,249,127,64,-,-,-,-,-,10,12,51,101,141,143,152,129,131,90,53,62
Mental a.behav. dis. due to oth. psychoactive sub.,2012,-,-,4,24,52,111,90,107,98,58,38,15,8,7,2,-,3,-,-,-,8,21,19,18,30,29,17,9,2,3,4,2,-,5
Diseases of the nervous system and sensory organs,2012,30,54,36,57,65,64,83,152,268,390,445,584,826,1714,2213,2390,2379,29,41,25,22,39,43,48,95,208,247,323,474,638,1296,1786,2412,4811
Meningitis,2012,2,3,-,1,1,1,3,1,5,7,2,6,6,6,10,7,7,1,2,2,1,1,-,4,-,3,-,-,2,7,5,18,11,19
Diseases of the circulatory system,2012,19,39,33,70,103,181,347,890,2135,3712,5314,7802,9609,19482,25506,31432,43475,9,22,25,49,64,78,143,338,737,1204,1776,2847,4137,10783,19844,36459,120553
Hypertensive diseases,2012,1,-,-,5,4,7,15,37,110,180,265,397,520,973,1562,2302,4400,1,-,-,2,1,-,3,16,32,71,108,198,264,870,1874,4192,17580
Ischaemic heart diseases,2012,-,-,1,7,21,42,134,394,1033,1938,2717,4011,4731,9308,11519,13523,16915,-,-,-,-,8,15,36,71,203,391,650,1114,1494,3747,6717,11476,35955
Acute or subsequent myocardial infarction,2012,-,-,-,4,19,34,108,315,801,1411,1809,2485,2637,4732,5224,5446,5869,-,-,-,-,8,13,25,56,154,279,430,742,886,2060,3276,4834,11768
Other forms of heart disease,2012,13,25,22,35,40,74,90,210,473,709,990,1337,1708,3490,4761,6460,10680,8,17,12,22,10,21,34,64,132,224,315,532,798,2165,4272,8572,32740
Other diseases of endocardium,2012,-,2,-,2,4,7,6,26,44,55,101,190,233,557,863,1161,1402,-,-,1,6,2,-,4,12,20,30,42,93,157,421,823,1558,4254
Cerebrovascular diseases,2012,2,8,6,8,10,23,40,107,234,429,611,1013,1356,3121,4365,5303,6650,-,3,2,6,14,18,35,93,199,279,379,504,836,2239,4005,7204,19823
"Stroke, not specified as haemorrhage or infarction",2012,-,1,2,-,1,-,-,13,14,65,111,224,329,891,1337,1839,2665,-,-,-,-,-,1,3,8,9,20,54,92,168,545,1216,2516,8263
"Diseases of arteries, arterioles and capillaries",2012,1,1,2,3,2,10,18,53,87,157,295,456,620,1253,1488,1690,2297,-,-,2,1,4,5,4,25,38,65,101,164,269,617,978,1702,6451
Diseases of the respiratory system,2012,11,17,16,23,20,23,45,115,259,457,893,1558,2398,4788,6023,7077,8506,8,16,6,12,17,17,27,56,127,283,499,934,1249,2560,3658,5452,13304
Influenza,2012,2,-,1,-,-,-,-,-,2,2,5,1,2,7,2,4,7,1,1,-,-,-,-,-,1,-,-,1,1,1,1,3,3,24
Pneumonia,2012,3,8,7,11,9,9,23,40,80,116,201,307,458,1078,1582,2063,3212,3,5,1,8,6,7,8,19,29,46,84,150,212,542,989,1732,5769
Chronic lower respiratory diseases,2012,-,2,3,3,6,9,15,43,113,243,536,990,1522,2795,3165,3595,3635,-,3,-,1,5,5,12,23,78,183,324,641,863,1580,1965,2591,4722
Asthma,2012,-,1,1,2,4,5,9,11,25,29,29,36,39,58,60,70,88,-,1,-,-,4,4,8,8,20,19,26,32,45,60,88,105,277
"COVID-19, virus detected",2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"COVID-19, virus not detected",2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Diseases of the digestive system,2012,6,8,8,17,37,80,145,469,963,1589,1843,2080,1965,2940,2746,2614,2938,8,5,4,7,12,30,60,156,404,641,762,1009,1039,1899,2335,3393,7882
"Gastric, duodenal, peptic, gastrojejunal ulcer",2012,-,-,-,1,-,3,3,11,24,45,58,95,92,191,180,217,345,-,-,-,-,1,-,2,3,13,21,24,49,54,86,172,278,808
Diseases of liver,2012,3,-,1,4,18,50,91,350,733,1176,1366,1460,1193,1485,999,614,383,5,1,-,1,8,18,39,116,293,469,518,627,541,736,597,522,545
"Alcohol. liver dis.,chr. hepatitis,fibrosis,cirrh.",2012,-,-,-,3,18,47,88,341,715,1139,1322,1408,1141,1407,908,535,312,1,-,-,1,7,16,34,113,281,451,490,596,506,675,527,424,395
Diseases of the skin and subcutaneous tissue,2012,-,-,-,2,1,2,2,6,9,10,17,22,28,63,70,82,92,-,-,-,-,-,1,1,6,7,6,12,18,20,51,106,162,399
Diseases of musculoskeletal sys. a. connec. tissue,2012,-,1,3,3,1,5,9,13,14,27,62,68,104,181,203,233,223,1,2,2,2,4,5,9,8,19,28,51,53,113,226,279,404,943
Chronic polyarthritis and arthrosis,2012,-,-,-,-,-,-,1,2,2,2,12,13,19,37,44,63,55,-,-,-,1,-,-,-,-,3,6,13,11,42,60,85,117,271
Diseases of the genitourinary system,2012,1,1,-,2,2,7,13,22,37,90,152,262,420,995,1479,2106,3204,1,2,-,2,1,4,10,19,32,66,107,157,260,689,1347,2444,6602
Disorders of kidney,2012,1,1,-,2,2,4,10,17,29,77,126,218,340,785,1178,1662,2499,1,2,-,1,-,4,8,16,23,50,90,112,199,554,1047,1861,5232
"Pregnancy, childbirth and the puerperium",2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,11,11,5,2,-,-,-,-,-,-,-,-
Certain conditions origin. in the perinatal period,2012,598,7,3,1,1,1,-,2,3,-,1,-,1,-,-,1,-,529,8,1,3,-,1,-,-,-,2,1,-,-,-,1,-,-
"Congenital malform.,deform. a. chromosomal abnorm.",2012,337,91,26,20,20,24,12,30,27,46,57,61,42,15,11,13,10,257,65,12,19,11,15,18,27,32,39,45,52,27,25,16,8,22
Congenital malformations of the nervous system,2012,28,22,4,4,3,4,3,2,4,2,2,4,-,-,-,-,-,23,14,2,2,1,3,5,2,4,1,1,3,-,1,1,-,-
Congenital malformations of the circulatory system,2012,113,27,9,3,11,9,2,11,3,8,8,5,4,4,6,5,3,91,18,7,3,3,1,6,7,8,10,3,7,2,8,7,1,10
"Symp., signs a. abnormal clinical a. lab. findings",2012,129,31,24,65,114,130,207,387,805,1089,1290,1330,1335,1697,1430,1221,1606,79,14,20,24,38,44,73,143,264,347,437,524,650,981,1171,1427,4893
Sudden infant death syndrome,2012,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other ill-defined and unknown causes of mortality,2012,49,30,23,64,107,126,201,371,785,1048,1239,1276,1259,1566,1257,967,860,26,12,18,24,35,42,73,129,247,328,416,504,613,871,1004,1067,2003
External causes of morbidity and mortality,2012,28,161,436,784,750,709,639,1070,1432,1451,1481,1285,1120,1882,1859,2059,2634,25,111,153,211,187,196,188,331,468,494,490,495,539,1020,1229,1917,5097
"Accidents, including their sequelae",2012,12,117,274,442,350,294,248,385,574,623,687,650,607,1172,1237,1478,2105,11,81,96,117,75,74,63,116,164,189,208,278,305,703,957,1637,4540
Transport accidents,2012,1,50,232,350,239,162,128,190,243,229,210,159,115,222,158,136,110,-,35,84,95,54,43,32,51,59,63,55,49,42,97,100,97,89
Falls,2012,-,10,5,15,27,27,32,39,112,147,208,232,246,506,672,940,1471,1,6,4,2,6,6,6,12,31,41,57,110,138,313,546,1062,3210
Accidental drowning and submersion,2012,2,18,8,18,12,9,8,17,35,21,20,21,22,32,20,21,13,-,13,-,3,2,3,1,7,4,9,8,8,9,17,10,11,15
"Exposure to smoke, fire and flames",2012,-,7,-,2,4,5,7,9,15,29,18,16,19,27,18,13,22,-,9,-,3,3,3,4,8,8,11,11,14,10,25,13,16,35
Accid. poisoning by and exposure to noxious subst.,2012,-,3,8,19,39,48,36,43,53,47,36,21,17,21,10,12,5,-,3,5,5,6,11,5,13,19,17,15,11,11,8,10,12,30
Intentional self-harm,2012,-,11,139,300,336,362,327,593,747,740,678,558,452,614,542,464,424,-,9,45,76,90,97,99,176,267,267,248,179,191,252,202,174,231
Assault,2012,12,22,8,15,12,16,11,15,26,11,17,11,9,6,4,6,3,9,16,5,9,9,14,11,21,10,10,10,8,13,10,12,13,19
Event of undetermined intent,2012,4,9,15,27,51,36,50,76,82,74,96,65,49,86,75,109,98,5,4,7,9,13,11,15,18,26,27,23,30,28,52,57,92,304
Total,2012,1207,621,706,1236,1372,1685,2172,4770,9607,15483,21569,28875,34259,61058,68492,74317,88994,995,426,314,460,564,766,1177,2633,5283,8365,11216,15572,19394,37960,53017,79673,215344
Certain infectious and parasitic diseases,2013,22,23,10,9,14,34,64,134,190,293,373,464,545,1078,1479,1601,2024,15,13,7,7,10,21,29,48,72,144,214,297,354,778,1426,1984,4704
"Tuberculosis, including its sequelae",2013,-,-,-,1,-,3,4,7,7,12,10,8,18,29,43,32,46,-,-,-,1,-,1,1,1,5,2,6,5,2,14,22,35,51
Meningococcal infection,2013,5,1,1,1,1,1,1,2,-,-,1,-,1,-,-,-,-,3,-,-,1,-,-,-,2,-,1,2,-,1,-,4,-,4
Viral hepatitis,2013,-,-,-,-,2,8,12,29,44,62,85,57,33,47,64,44,42,-,-,-,-,1,2,9,10,12,27,36,24,31,43,75,85,107
HIV disease,2013,-,-,-,2,2,9,27,47,52,59,38,19,37,24,14,4,1,-,-,-,1,-,5,6,5,10,10,13,5,3,2,3,1,2
Neoplasms,2013,9,124,65,99,147,214,353,889,2465,5179,8224,12105,14024,22872,23219,18644,16422,6,108,63,75,127,274,491,1117,2517,4480,6121,8277,9369,15299,17060,16366,24036
Malignant neoplasms,2013,8,117,60,95,142,203,350,873,2430,5119,8108,11940,13814,22387,22591,17954,15557,4,103,60,72,125,270,486,1101,2481,4441,6042,8161,9195,14949,16506,15605,22493
"Malignant neoplasms of lip, oral cavity, pharynx",2013,-,1,-,1,5,5,7,58,186,458,656,744,546,590,429,246,152,-,-,-,1,2,4,2,19,40,96,126,179,168,218,169,147,218
Malignant neoplasms of oesophagus,2013,-,-,-,-,1,2,8,42,149,313,485,603,636,779,606,367,253,-,-,-,-,2,2,1,9,23,52,88,107,144,186,182,140,256
Malignant neoplasms of stomach,2013,-,-,-,3,6,14,13,66,170,275,364,497,548,916,1014,888,817,-,-,-,3,4,22,26,56,80,137,159,270,272,503,683,707,1109
Malignant neoplasms of colon,2013,-,-,2,2,8,12,17,38,121,267,405,667,884,1507,1738,1518,1472,-,-,-,3,3,13,15,53,111,201,268,440,566,1003,1315,1548,2911
"Malig. neopl. of rectum,anus,rectosigmoid junction",2013,-,-,-,2,5,2,14,33,94,192,291,487,570,865,864,638,572,-,-,-,1,1,7,10,26,61,114,153,215,255,452,575,581,961
"Malignant neoplasms of liver, bile ducts, pancreas",2013,-,-,2,3,4,14,34,90,270,583,1035,1590,1879,3038,2985,1871,1364,-,1,-,2,7,8,36,63,192,368,575,875,1114,2131,2425,2257,2827
"Malig. neoplasms of liver, intrahepatic bile ducts",2013,-,-,2,2,2,5,5,22,76,196,365,597,659,1075,1008,587,399,-,1,-,2,5,2,17,22,49,70,126,190,206,405,459,422,491
Malignant neoplasms of pancreas,2013,-,-,-,1,1,7,26,64,172,347,606,879,1040,1637,1653,1070,770,-,-,-,-,1,5,17,35,119,252,368,556,762,1407,1584,1448,1774
"Malig. neoplasms of larynx,trachea,bronchus,lung",2013,-,-,1,3,9,17,40,161,583,1466,2667,3893,4229,6329,5436,3854,2274,-,-,2,3,4,8,29,95,422,974,1525,1990,2109,2549,2164,1715,1781
Malignant neoplasms of bronchus and lung,2013,-,-,1,3,9,16,39,152,558,1385,2541,3684,4017,6077,5265,3747,2190,-,-,2,3,4,8,28,94,412,960,1504,1947,2069,2522,2131,1696,1749
Melanoma and other malignant neoplasms of skin,2013,-,-,-,1,9,15,20,39,79,125,120,170,212,372,371,313,375,-,-,1,2,5,11,21,40,68,78,80,87,119,176,206,202,474
Malignant melanoma of skin,2013,-,-,-,1,9,15,19,37,71,119,113,156,194,318,300,227,208,-,-,1,2,5,10,20,39,66,73,74,79,106,150,179,152,299
Malignant neoplasms of breast,2013,-,-,-,-,-,-,1,1,2,5,6,10,14,43,28,19,27,-,1,-,1,18,70,163,348,671,1079,1247,1532,1628,2430,2649,2343,3673
"Malig. neoplasms of genital organs, urinary tract",2013,1,2,3,9,14,16,23,55,171,405,724,1333,1956,3822,4780,4800,5348,1,5,2,8,24,40,78,174,429,659,875,1193,1269,2447,2753,2573,3473
Malignant neoplasms of cervix uteri,2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,19,29,76,135,160,178,163,120,163,163,155,180
"Malig. neopl. of corpus uteri,uterus, part unspec.",2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,2,10,17,35,76,133,233,200,425,466,435,543
Malignant neoplasms of ovary,2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,9,11,29,53,182,270,339,470,530,1001,957,790,820
Malignant neoplasms of prostate,2013,-,-,-,-,-,-,-,3,21,98,252,633,999,2078,2832,2988,3504,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Malignant neoplasms of kidney, except renal pelvis",2013,1,1,2,-,2,3,7,24,61,144,209,310,380,649,701,469,395,1,5,1,-,1,2,1,8,25,49,76,125,163,286,443,390,524
Malignant neoplasms of bladder,2013,-,-,-,1,-,-,4,6,36,88,130,195,308,585,745,811,985,-,-,-,-,1,2,2,6,21,40,56,72,77,213,278,355,740
"Malig. neopl.of lymphoid,haematopoietic,rel.tissue",2013,1,31,20,23,26,41,57,87,172,319,446,706,1038,1916,2119,1820,1433,1,32,18,24,16,29,22,74,94,202,277,448,586,1306,1706,1661,2080
Leukaemia,2013,1,25,14,16,13,20,36,41,67,130,192,296,400,791,927,776,650,1,30,17,15,12,18,13,37,53,83,114,188,215,493,666,653,952
Benign neoplasms,2013,-,2,2,1,1,2,-,3,8,2,9,20,12,42,44,43,52,-,-,-,-,-,2,2,3,8,10,16,19,18,44,54,67,115
Diseases of the blood and blood-forming organs,2013,6,8,1,5,4,8,4,12,22,34,45,63,77,132,216,231,337,5,7,5,3,3,5,8,9,11,30,26,47,61,136,236,312,807
"Endocrine, nutritional and metabolic diseases",2013,23,27,11,22,30,44,53,148,296,437,703,938,1012,1871,2372,2431,2929,7,23,12,16,23,23,29,79,123,222,308,451,579,1238,2297,3363,9057
Diabetes mellitus,2013,-,1,6,7,13,12,19,78,152,291,463,670,776,1521,2014,2085,2376,-,2,2,1,6,5,15,29,44,99,164,272,388,922,1848,2768,7208
Mental and behavioural disorders,2013,-,3,5,34,73,152,187,310,566,824,810,792,674,1134,1690,2473,4514,-,1,8,16,23,36,45,91,149,178,203,290,344,713,1671,3322,14786
Mental and behav. disorders due to use of alcohol,2013,-,1,-,5,9,36,88,194,445,710,692,649,456,446,280,136,71,-,-,-,3,6,11,17,47,107,141,154,195,173,142,106,67,86
Mental a.behav. dis. due to oth. psychoactive sub.,2013,-,-,3,26,59,115,93,104,98,71,44,13,10,3,2,-,1,-,-,1,7,13,15,20,33,18,9,7,6,4,3,5,3,5
Diseases of the nervous system and sensory organs,2013,38,63,42,72,70,68,76,119,259,410,480,576,795,1739,2467,2535,2679,14,63,20,41,42,39,57,95,179,267,373,456,613,1242,1943,2483,5377
Meningitis,2013,2,1,1,1,1,1,1,1,3,6,6,9,5,9,9,8,5,1,2,-,3,-,1,3,-,-,1,4,2,11,8,15,9,11
Diseases of the circulatory system,2013,11,32,29,59,100,172,317,799,2072,3618,5546,7759,9570,18653,26604,31074,46894,9,41,21,42,71,102,152,344,717,1217,1766,2965,4235,10436,20654,35757,122655
Hypertensive diseases,2013,-,2,-,1,4,5,19,35,97,184,284,395,492,1033,1710,2494,5147,-,-,-,-,-,2,4,12,22,65,116,200,312,879,2115,4410,19606
Ischaemic heart diseases,2013,-,-,2,5,20,40,98,343,1029,1809,2824,4024,4713,8606,12102,13270,18290,-,1,2,2,4,10,12,73,211,376,638,1132,1591,3647,6855,11273,35806
Acute or subsequent myocardial infarction,2013,-,-,1,4,19,28,77,279,805,1329,1928,2484,2577,4331,5396,5177,6187,-,1,2,1,2,8,10,56,167,263,432,721,926,1968,3254,4669,11436
Other forms of heart disease,2013,6,16,20,27,46,55,97,201,439,692,1046,1310,1697,3496,5018,6412,11391,7,20,7,18,19,31,33,71,138,233,321,538,774,2031,4427,8317,32657
Other diseases of endocardium,2013,-,4,2,1,1,3,15,21,34,94,104,182,247,615,964,1171,1615,-,5,-,2,2,3,5,15,17,31,47,89,134,407,860,1598,4723
Cerebrovascular diseases,2013,4,6,4,7,11,32,40,82,243,405,653,986,1371,2991,4285,5138,6909,1,10,3,5,12,20,39,84,191,300,372,544,810,2074,4048,6830,20046
"Stroke, not specified as haemorrhage or infarction",2013,-,-,-,-,-,3,3,4,18,47,122,176,337,754,1217,1673,2451,-,1,-,-,1,1,1,2,7,27,40,95,141,510,1144,2265,7843
"Diseases of arteries, arterioles and capillaries",2013,-,-,-,5,7,12,16,41,79,186,296,483,634,1146,1547,1611,2328,1,1,1,-,4,6,5,19,32,72,102,203,277,631,1064,1647,6048
